number,name,type_1,type_2,H,A,B,C,D,S,ability_1,ability_2,ability_3,weight
0121,スターミー,03,11,60,75,85,100,85,115,230,164,105,80.0
0121,メガスターミー,03,11,60,100,105,130,105,120,196,,,80.0
0122,バリヤード,11,18,40,45,65,100,120,90,226,245,202,54.5
0127,カイロス,12,00,65,125,100,55,70,85,125,129,163,55.0
0127,メガカイロス,12,10,65,155,120,65,90,105,176,,,59.0
0128,ケンタロス,01,00,75,100,95,40,70,110,110,111,195,88.4
0128,パルデアケンタロス(かくとう),07,00,75,110,105,30,70,100,110,111,239,115.0
0128,パルデアケンタロス(ほのお),07,02,75,110,105,30,70,100,110,111,239,85.0
0128,パルデアケンタロス(みず),07,03,75,110,105,30,70,100,110,111,239,110.0
0130,ギャラドス,03,10,95,125,79,60,100,81,110,163,,235.0
0130,メガギャラドス,03,16,95,155,109,70,130,81,129,,,305.0
0132,メタモン,01,00,48,48,48,48,48,48,167,133,,4.0
0134,シャワーズ,03,00,130,65,60,110,95,65,199,118,,29.0
0135,サンダース,04,00,65,65,60,110,95,130,197,233,,24.5
0136,ブースター,02,00,65,130,60,95,110,65,287,155,,25.0
0142,プテラ,13,10,80,105,65,60,75,130,112,259,149,59.0
0142,メガプテラ,13,10,80,135,85,70,95,150,128,,,79.0
0143,カビゴン,01,00,160,110,65,65,110,30,283,103,150,460.0
0149,カイリュー,15,10,91,134,95,100,100,80,189,275,,210.0
0149,メガカイリュー,15,10,91,124,115,145,125,100,275,,,290.0
0154,メガニウム,05,00,80,82,100,83,100,80,172,297,,100.5
0154,メガメガニウム,05,18,80,92,115,143,115,80,280,,,201.0
0157,バクフーン,02,00,78,84,78,109,85,100,284,287,,79.5
0157,ヒスイバクフーン,02,14,73,84,78,119,85,95,284,122,,69.8
0160,オーダイル,03,00,85,105,100,79,83,78,154,195,,88.8
0160,メガオーダイル,03,15,85,160,125,89,93,78,216,,,108.8
0168,アリアドス,12,08,70,90,70,60,70,40,278,254,180,33.5
0181,デンリュウ,04,00,90,75,85,115,90,55,190,256,,61.5
0181,メガデンリュウ,04,15,90,95,105,165,110,45,129,,,61.5
0184,マリルリ,03,18,100,50,80,60,80,50,103,196,191,28.5
0186,ニョロトノ,03,00,90,75,75,90,100,70,199,165,108,33.9
0196,エーフィ,11,00,65,65,60,130,95,110,171,274,,26.5
0197,ブラッキー,16,00,95,65,110,60,130,65,171,189,,27.0
0199,ヤドキング,03,11,95,75,80,100,110,30,218,269,157,79.5
0199,ガラルヤドキング,08,11,95,65,80,110,110,30,141,269,157,79.5
0205,フォレトス,12,17,75,90,140,60,60,40,134,227,,125.8
0208,ハガネール,17,09,75,85,200,55,65,30,112,134,195,400.0
0208,メガハガネール,17,09,75,125,230,55,95,30,184,,,740.0
0211,ハリーセン,03,08,65,95,85,55,55,85,212,174,110,3.9
0212,ハッサム,12,17,70,130,100,55,80,65,278,202,296,118.0
0212,メガハッサム,12,17,70,150,140,65,100,75,202,,,125.0
0214,ヘラクロス,12,07,80,125,75,40,95,85,278,155,163,54.0
0214,メガヘラクロス,12,07,80,185,115,40,105,75,177,,,62.5
0227,エアームド,17,10,65,80,140,40,70,70,187,134,152,50.5
0227,メガエアームド,17,10,65,140,110,40,100,110,178,,,40.4
0229,ヘルガー,16,02,75,90,50,110,80,95,234,287,149,35.0
0229,メガヘルガー,16,02,75,90,90,140,90,115,160,,,49.5
0248,バンギラス,13,16,100,134,110,95,100,61,181,149,,202.0
0248,メガバンギラス,13,16,100,164,150,95,120,71,181,,,255.0
0254,ジュカイン,05,00,70,85,65,105,85,120,172,132,,52.2
0254,メガジュカイン,05,15,70,110,75,145,85,145,242,,,55.2
0257,バシャーモ,02,07,80,120,70,110,70,80,284,127,,52.0
0257,メガバシャーモ,02,07,80,160,80,130,80,100,127,,,52.0
0260,ラグラージ,03,09,100,110,90,85,90,60,154,165,,81.9
0260,メガラグラージ,03,09,100,150,110,95,110,70,174,,,102.0
0279,ペリッパー,03,10,60,50,100,95,70,65,187,108,107,28.0
0282,サーナイト,11,18,68,65,65,125,115,80,171,217,204,48.4
0282,メガサーナイト,11,18,68,85,65,165,135,100,247,,,48.4
0302,ヤミラミ,16,14,50,75,75,65,65,50,187,104,113,11.0
0302,メガヤミラミ,16,14,50,85,125,85,115,20,274,,,161.0
0303,クチート,17,18,50,85,85,55,55,50,125,110,195,11.5
0303,メガクチート,17,18,50,105,125,55,95,50,196,,,23.5
0306,ボスゴドラ,17,13,70,110,180,60,60,50,134,112,262,360.0
0306,メガボスゴドラ,17,00,70,140,230,60,80,50,245,,,395.0
0308,チャーレム,07,11,60,60,75,60,75,80,294,204,,31.5
0308,メガチャーレム,07,11,60,100,85,80,85,100,294,,,31.5
0310,ライボルト,04,00,70,75,60,105,60,105,190,242,268,40.2
0310,メガライボルト,04,00,70,75,80,135,80,135,110,,,44.0
0317,マルノーム,08,00,100,73,83,73,83,55,314,220,150,80.0
0319,サメハダー,03,16,70,120,40,95,40,95,159,127,,88.8
0319,メガサメハダー,03,16,70,140,70,110,65,105,135,,,130.3
0323,バクーダ,02,09,70,100,70,105,75,40,270,224,111,220.0
0323,メガバクーダ,02,09,70,120,100,145,105,20,195,,,320.5
0324,コータス,02,00,70,85,140,85,70,20,170,240,161,80.4
0334,チルタリス,15,10,75,70,90,70,105,80,164,222,,20.6
0334,メガチルタリス,15,18,75,110,110,110,105,80,247,,,20.6
0350,ミロカロス,03,00,95,60,79,100,125,81,252,130,282,162.0
0351,ポワルン,01,00,70,70,70,70,70,70,207,,,0.8
0351,ポワルン(たいようのすがた),02,00,70,70,70,70,70,70,207,,,0.8
0351,ポワルン(あまみずのすがた),03,00,70,70,70,70,70,70,207,,,0.8
0351,ポワルン(ゆきぐものすがた),06,00,70,70,70,70,70,70,207,,,0.8
0354,ジュペッタ,14,00,64,115,65,83,63,65,254,122,223,12.5
0354,メガジュペッタ,14,00,64,165,75,93,83,75,113,,,13.0
0358,チリーン,11,00,75,50,80,95,90,65,255,,,1.0
0358,メガチリーン,11,17,75,50,110,135,120,65,255,,,8.0
0359,アブソル,16,00,65,130,60,75,60,75,259,145,188,47.0
0359,メガアブソル,16,00,65,150,60,115,60,115,274,,,49.0
0359,メガアブソルZ,16,00,65,154,60,75,60,151,148,,,49.0
0362,オニゴーリ,06,00,80,80,80,80,80,80,189,101,279,256.5
0362,メガオニゴーリ,06,00,80,120,80,120,80,100,258,,,350.2
0373,ボーマンダ,15,10,95,135,80,110,80,100,110,163,,102.6
0373,メガボーマンダ,15,10,95,145,130,120,90,120,176,,,112.6
0376,メタグロス,17,11,80,135,130,95,90,70,153,296,,550.0
0376,メガメタグロス,17,11,80,145,150,105,110,110,128,,,942.9
0389,ドダイトス,05,09,95,109,105,75,85,56,172,161,,310.0
0392,ゴウカザル,02,07,76,104,71,104,71,108,284,203,,55.0
0395,エンペルト,03,17,84,86,88,111,101,60,154,130,,84.5
0398,ムクホーク,01,10,85,120,70,50,60,100,110,179,,24.9
0398,メガムクホーク,07,10,85,140,100,60,90,110,106,,,50.0
0405,レントラー,04,00,80,120,79,95,79,70,209,110,155,42.0
0407,ロズレイド,05,08,60,70,65,125,105,90,164,212,202,14.5
0409,ラムパルド,13,00,97,165,60,65,50,58,129,195,,102.5
0411,トリデプス,13,17,60,52,168,47,138,30,134,226,,149.5
0428,ミミロップ,01,00,65,76,84,54,96,105,282,249,167,33.3
0428,メガミミロップ,01,07,65,136,94,54,96,135,142,,,28.3
0442,ミカルゲ,14,16,50,92,108,92,108,35,259,186,,108.0
0445,ガブリアス,15,09,108,130,95,80,85,102,183,159,,95.0
0445,メガガブリアス,15,09,108,170,115,120,95,92,184,,,95.0
0445,メガガブリアスZ,15,09,108,130,85,141,85,151,255,,,99.0
0448,ルカリオ,07,17,70,110,70,115,70,90,251,189,188,54.0
0448,メガルカリオ,07,17,70,145,88,140,70,112,201,,,57.5
0448,メガルカリオZ,07,17,70,100,70,164,70,151,309,,,49.4
0450,カバルドン,09,00,108,112,118,68,72,47,181,184,,300.0
0454,ドクロッグ,08,07,83,106,65,86,65,85,139,136,211,44.4
0460,ユキノオー,05,06,90,92,75,92,85,60,292,226,,135.5
0460,メガユキノオー,05,06,90,132,105,132,105,30,292,,,185.0
0461,マニューラ,16,06,70,120,65,45,85,125,259,300,,34.0
0464,ドサイドン,09,13,115,140,130,55,55,40,242,224,179,282.8
0470,リーフィア,05,00,65,110,130,60,65,95,297,293,,25.5
0471,グレイシア,06,00,65,60,110,130,95,65,291,101,,25.9
0472,グライオン,09,10,75,95,125,45,75,95,125,183,225,42.5
0473,マンムー,06,09,110,130,80,70,60,80,218,291,103,291.0
0475,エルレイド,11,07,68,125,65,65,115,80,251,148,188,52.0
0475,メガエルレイド,11,07,68,165,95,65,115,110,189,,,56.4
0478,ユキメノコ,06,14,70,80,70,80,70,110,291,223,,26.6
0478,メガユキメノコ,06,14,70,80,70,140,100,120,292,,,29.6
0479,ロトム,04,14,50,50,77,95,77,91,255,,,0.3
0479,ヒートロトム,04,02,50,65,107,105,107,86,255,,,0.3
0479,ウォッシュロトム,04,03,50,65,107,105,107,86,255,,,0.3
0479,フロストロトム,04,06,50,65,107,105,107,86,255,,,0.3
0479,スピンロトム,04,10,50,65,107,105,107,86,255,,,0.3
0479,カットロトム,04,05,50,65,107,105,107,86,255,,,0.3
0497,ジャローダ,05,00,75,75,95,75,95,113,172,106,,63.0
0500,エンブオー,02,07,110,123,65,100,65,65,284,179,,150.0
0500,メガエンブオー,02,07,110,148,75,110,110,75,129,,,180.3
0503,ダイケンキ,03,00,95,100,85,108,70,70,154,161,,94.6
0503,ヒスイダイケンキ,03,16,90,108,80,100,65,85,154,148,,58.2
0505,ミルホッグ,01,00,60,85,69,60,69,77,230,187,105,27.0
0510,レパルダス,16,00,64,88,50,88,50,106,167,132,113,37.5
0512,ヤナッキー,05,00,75,98,63,98,63,101,150,172,,30.5
0514,バオッキー,02,00,75,98,63,98,63,101,150,284,,28.0
0516,ヒヤッキー,03,00,75,98,63,98,63,101,150,154,,29.0
0518,ムシャーナ,11,00,116,55,85,107,95,29,295,171,204,60.5
0530,ドリュウズ,09,17,110,135,60,50,65,88,182,184,129,40.4
0530,メガドリュウズ,09,17,110,165,100,65,65,103,137,,,60.0
0531,タブンネ,01,00,103,60,86,60,86,50,114,157,249,31.0
0531,メガタブンネ,01,18,103,60,126,80,126,50,114,,,32.0
0534,ローブシン,07,00,105,140,95,55,65,45,155,195,203,87.0
0545,ペンドラー,12,08,60,100,89,55,69,112,212,278,127,200.5
0545,メガペンドラー,12,08,60,140,149,75,99,62,161,,,230.5
0547,エルフーン,05,18,60,67,85,77,75,116,113,186,293,6.6
0553,ワルビアル,09,16,95,117,80,65,70,92,110,163,111,96.3
0560,ズルズキン,16,07,65,90,115,45,115,58,194,163,110,30.0
0560,メガズルズキン,16,07,65,130,135,55,135,68,110,,,31.0
0563,デスカーン,14,00,58,50,145,95,105,30,276,,,76.5
0569,ダストダス,08,00,80,95,82,60,82,75,102,152,289,107.3
0571,ゾロアーク,16,00,60,105,60,120,60,105,115,,,81.1
0571,ヒスイゾロアーク,01,14,55,100,60,125,60,110,115,,,73.0
0579,ランクルス,11,00,110,65,75,125,85,30,227,273,157,20.1
0584,バイバニラ,06,00,71,95,85,110,95,79,101,292,152,57.5
0587,エモンガ,04,10,55,75,60,75,60,103,190,205,,5.0
0604,シビルドン,04,00,85,115,80,105,80,50,255,,,80.5
0604,メガシビルドン,04,00,85,145,80,135,90,80,116,,,180.0
0609,シャンデラ,14,02,60,55,90,145,90,80,287,265,186,34.3
0609,メガシャンデラ,14,02,60,75,110,175,110,90,186,,,69.6
0614,ツンベアー,06,00,95,130,80,70,80,50,291,290,174,260.0
0618,マッギョ,09,04,109,66,84,81,99,32,190,167,183,11.0
0618,ガラルマッギョ,09,17,109,81,99,66,84,32,140,,,20.5
0623,ゴルーグ,09,14,89,124,80,55,80,55,203,249,221,330.0
0623,メガゴルーグ,09,14,89,159,105,70,105,55,248,,,330.0
0635,サザンドラ,16,15,92,105,90,125,90,98,255,,,160.0
0637,ウルガモス,12,02,85,60,65,135,105,100,265,278,,46.0
0652,ブリガロン,05,07,88,107,122,74,75,64,172,228,,90.0
0652,メガブリガロン,05,07,88,137,172,74,115,44,228,,,90.0
0655,マフォクシー,02,11,75,69,72,114,100,104,284,272,,39.0
0655,メガマフォクシー,02,11,75,69,72,159,125,134,255,,,39.0
0658,ゲッコウガ,03,16,72,95,67,103,71,122,154,261,,40.0
0658,メガゲッコウガ,03,16,72,125,77,133,81,142,261,,,40.0
0660,ホルード,01,09,85,56,77,50,77,78,285,264,196,42.4
0663,ファイアロー,02,10,78,81,71,74,69,126,265,235,,24.5
0666,ビビヨン,12,10,80,52,50,90,50,89,298,250,260,17.0
0668,カエンジシ(オスのすがた),02,01,86,68,72,109,66,106,209,149,163,81.5
0668,カエンジシ(メスのすがた),02,01,86,68,72,109,66,106,209,149,163,81.5
0668,メガカエンジシ,02,01,86,88,92,129,86,126,266,,,93.3
0670,フラエッテ(えいえんのはな),18,00,74,65,67,125,128,92,257,146,,0.9
0670,メガフラエッテ(えいえんのはな),18,00,74,85,87,155,148,102,246,,,100.8
0671,フラージェス,18,00,78,65,68,112,154,75,257,146,,10.0
0673,ゴーゴート,05,00,123,100,62,97,81,68,191,302,,91.0
0675,ゴロンダ,07,16,95,124,78,69,71,58,203,129,142,136.0
0676,トリミアン,01,00,75,80,60,65,90,102,244,,,28.0
0678,ニャオニクス(オス),11,00,74,48,76,83,81,104,187,186,113,8.5
0678,ニャオニクス(メス),11,00,74,48,76,83,81,104,187,186,130,8.5
0678,メガニャオニクス(オス),11,00,74,48,76,143,101,124,217,,,10.1
0678,メガニャオニクス(メス),11,00,74,48,76,143,101,124,217,,,10.1
0681,ギルガルド(シールドフォルム),17,14,60,50,140,50,140,60,232,,,53.0
0681,ギルガルド(ブレードフォルム),17,14,60,140,50,140,50,60,232,,,53.0
0683,フレフワン,18,00,101,72,72,99,89,29,114,109,,15.5
0685,ペロリーム,18,00,82,80,86,85,75,72,173,132,,5.0
0687,カラマネロ,16,11,86,92,88,68,75,73,106,144,186,47.0
0687,メガカラマネロ,16,11,86,102,88,98,120,88,106,,,69.8
0689,ガメノデス,13,03,72,105,115,54,86,68,128,180,300,96.0
0689,メガガメノデス,13,07,72,140,130,64,106,88,128,,,100.0
0691,ドラミドロ,08,15,65,75,90,97,123,44,212,211,201,81.5
0691,メガドラミドロ,08,15,65,85,105,132,163,44,157,,,100.3
0693,ブロスター,03,00,71,73,88,120,89,59,281,,,35.3
0695,エレザード,04,01,62,55,52,109,94,109,136,183,160,21.0
0697,ガチゴラス,13,15,82,121,119,69,59,71,135,112,,270.0
0699,アマルルガ,13,06,123,77,72,99,92,58,258,292,,225.0
0700,ニンフィア,18,00,95,65,65,110,130,60,282,247,,23.5
0701,ルチャブル,07,10,78,92,75,74,63,118,167,132,129,21.5
0701,メガルチャブル,07,10,78,137,100,74,93,118,221,,,25.0
0702,デデンネ,04,18,67,58,57,81,67,101,264,285,256,2.2
0706,ヌメルゴン,15,00,90,100,70,110,150,80,191,118,219,150.5
0706,ヒスイヌメルゴン,17,15,80,100,100,110,150,60,191,161,219,334.1
0707,クレッフィ,17,18,57,80,91,80,87,75,113,272,,3.0
0709,オーロット,14,05,85,110,76,65,82,56,164,122,166,71.0
0711,パンプジン(こだましゅ),14,05,55,85,122,58,75,99,285,122,254,9.5
0711,パンプジン(ちゅうだましゅ),14,05,65,90,122,58,75,84,285,122,254,12.5
0711,パンプジン(おおだましゅ),14,05,75,95,122,58,75,69,285,122,254,14.0
0711,パンプジン(ギガだましゅ),14,05,85,100,122,58,75,54,285,122,254,39.0
0713,クレベース,06,00,95,117,184,44,46,28,269,101,134,505.0
0713,ヒスイクレベース,06,13,95,127,184,34,36,38,135,101,134,262.4
0715,オンバーン,10,15,85,70,80,97,80,123,122,186,204,85.0
0724,ジュナイパー,05,14,78,107,75,100,100,70,172,120,,36.6
0724,ヒスイジュナイパー,05,07,88,112,80,95,95,60,172,142,,37.0
0727,ガオガエン,02,16,95,115,90,80,90,60,284,110,,83.0
0730,アシレーヌ,03,18,80,74,74,126,116,60,154,117,,44.0
0733,ドデカバシ,01,10,80,120,75,75,75,60,187,177,195,26.0
0740,ケケンカニ,07,06,97,132,77,62,67,43,125,203,111,180.0
0740,メガケケンカニ,07,06,97,157,122,62,107,33,203,,,252.8
0745,ルガルガン(まひる),13,00,75,115,65,55,65,112,187,182,251,25.0
0745,ルガルガン(まよなか),13,00,85,115,75,55,75,82,187,288,221,25.0
0745,ルガルガン(たそがれ),13,00,75,117,65,55,65,110,128,,,25.0
0748,ドヒドイデ,08,03,50,63,152,53,142,35,241,167,157,14.5
0750,バンバドロ,09,00,100,125,100,55,85,35,269,162,189,920.0
0752,オニシズクモ,03,12,68,70,92,50,132,42,175,199,,82.0
0758,エンニュート,08,02,68,64,60,111,60,117,253,218,,22.2
0763,アマージョ,05,00,72,120,98,50,98,72,297,169,173,21.4
0765,ヤレユータン,01,11,90,60,80,90,110,60,189,204,146,76.0
0766,ナゲツケサル,07,00,100,120,90,40,60,80,299,271,,82.8
0768,グソクムシャ,12,03,75,125,140,60,90,40,301,,,108.0
0768,メガグソクムシャ,12,17,75,150,175,70,120,40,128,,,148.0
0778,ミミッキュ,14,18,55,90,80,50,105,96,229,,,0.7
0780,ジジーロン,01,15,78,60,85,135,91,36,143,191,222,185.0
0780,メガジジーロン,01,15,78,85,110,160,116,36,143,,,240.5
0784,ジャラランガ,15,07,75,110,125,100,105,85,228,226,227,78.2
0812,ゴリランダー,05,00,100,125,90,60,70,85,172,303,,90.0
0815,エースバーン,02,00,80,116,75,65,75,119,284,315,,33.0
0818,インテレオン,03,00,70,85,65,125,65,120,154,180,,45.2
0823,アーマーガア,10,17,98,87,105,53,85,67,259,149,277,75.0
0828,フォクスライ,16,00,70,58,58,87,92,90,306,132,310,19.9
0841,アップリュー,05,15,70,110,80,95,60,70,168,150,238,1.0
0842,タルップル,05,15,110,85,80,100,80,30,168,150,103,13.0
0844,サダイジャ,09,00,72,107,125,65,70,71,185,194,183,65.5
0849,ストリンダー(ハイ),04,08,75,98,70,114,70,75,311,256,202,40.0
0849,ストリンダー(ロー),04,08,75,98,70,114,70,75,311,268,202,40.0
0853,オトスパス,07,00,80,118,90,70,80,42,167,202,,39.0
0855,ポットデス,14,00,60,65,65,134,114,70,152,223,,0.4
0858,ブリムオン,11,18,57,90,95,136,103,29,114,139,274,5.1
0861,オーロンゲ,16,18,95,120,65,95,75,60,113,122,300,61.0
0863,ニャイキング,17,00,70,110,100,50,60,50,131,128,308,28.0
0865,ネギガナイト,07,00,62,135,95,68,82,65,251,142,,117.0
0866,バリコオル,06,11,80,85,75,110,100,70,198,237,101,58.2
0867,デスバーン,09,14,58,95,145,50,105,30,158,,,66.6
0869,マホイップ,18,00,65,60,75,110,121,64,173,109,,0.5
0870,タイレーツ,07,00,65,100,100,70,60,75,131,271,,62.0
0870,メガタイレーツ,07,00,65,135,135,70,65,100,271,,,99.0
0871,バチンウニ,04,00,48,101,95,91,85,15,242,119,,1.0
0876,イエッサン(オス),11,01,60,65,55,105,95,95,189,171,305,28.0
0876,イエッサン(メス),11,01,70,55,65,95,105,85,269,171,305,28.0
0877,モルペコ,04,16,58,95,58,70,58,97,236,,,3.0
0887,ドラパルト,15,14,88,120,75,100,75,142,153,186,223,50.0
0899,アヤシシ,01,11,103,105,72,105,75,65,110,122,191,95.1
0900,バサギリ,12,13,70,135,95,45,70,85,278,195,148,89.0
0902,イダイトウ(オス),03,14,120,112,65,80,75,78,174,201,129,110.0
0902,イダイトウ(メス),03,14,120,92,65,100,75,78,174,201,129,110.0
0903,オオニューラ,07,08,80,130,60,40,80,120,259,132,211,43.0
0904,ハリーマン,16,08,85,115,95,65,65,85,212,174,110,60.5
0908,マスカーニャ,05,16,76,110,70,81,70,123,172,261,,31.2
0911,ラウドボーン,02,14,104,75,100,110,75,66,284,208,,326.5
0914,ウェーニバル,03,07,85,120,80,85,75,85,154,163,,61.9
0925,イッカネズミ(3びきかぞく),01,00,74,75,70,65,75,111,260,264,202,2.3
0925,イッカネズミ(4ひきかぞく),01,00,74,75,70,65,75,111,260,264,202,2.8
0930,オリーヴァ,05,01,78,69,90,125,109,39,304,166,,48.2
0931,イキリンコ(グリーンフェザー),01,10,82,96,51,45,51,92,110,238,155,2.4
0931,イキリンコ(ブルーフェザー),01,10,82,96,51,45,51,92,110,238,155,2.4
0931,イキリンコ(イエローフェザー),01,10,82,96,51,45,51,92,110,238,195,2.4
0931,イキリンコ(ホワイトフェザー),01,10,82,96,51,45,51,92,110,238,195,2.4
0934,キョジオーン,13,00,100,100,130,45,90,35,147,134,153,240.0
0936,グレンアルマ,02,11,85,60,100,125,80,75,287,152,,85.0
0937,ソウブレイズ,02,14,75,125,80,60,100,85,287,152,,62.0
0939,ハラバリー,04,00,109,64,91,103,83,45,206,190,165,113.0
0943,マフィティフ,16,00,80,120,90,60,70,85,110,312,310,61.0
0952,スコヴィラン,05,02,65,108,65,108,65,75,293,254,279,15.0
0952,メガスコヴィラン,05,02,65,138,85,138,85,75,215,,,22.0
0956,クエスパトラ,11,00,95,60,60,101,60,105,243,122,127,90.0
0959,デカヌチャン,18,17,85,75,77,70,105,94,129,269,300,112.8
0964,イルカマン(ナイーブ),03,00,100,70,72,53,62,100,267,,,60.2
0964,イルカマン(マイティ),03,00,100,160,97,106,87,100,267,,,97.4
0968,ミミズズ,17,00,70,85,145,60,55,65,213,183,,310.0
0970,キラフロル,13,08,83,55,90,130,81,86,210,253,,45.0
0970,メガキラフロル,13,08,83,90,105,150,96,101,201,,,77.0
0972,ハカドッグ,14,00,72,101,100,50,97,68,182,286,,15.0
0979,コノヨザル,07,14,110,115,80,50,90,90,288,189,271,56.0
0981,リキキリン,01,11,120,90,70,110,70,60,239,200,191,160.0
0983,ドドゲザン,16,17,100,135,120,60,85,50,271,192,259,120.0
0998,セグレイブ,15,06,115,145,92,75,86,87,307,101,,210.0
0998,メガセグレイブ,15,06,115,175,117,105,101,87,307,,,315.0
1000,サーフゴー,17,14,87,60,95,133,91,84,121,,,30.0
1013,ヤバソチャ,05,14,71,60,106,121,80,70,123,193,,2.2
1018,ブリジュラス,17,15,90,105,130,125,65,85,162,134,178,60.0
1019,カミツオロチ,05,15,106,80,110,120,80,44,138,157,220,93.0
