id,move,type,category,power,accuracy,pp,contact
1130,クラブハンマー,,Physical,100,95,12,0
1131,クリアスモッグ,,Special,50,xx,16,1
1132,くろいきり,,Status,xx,xx,20,1
1133,くろいまなざし,,Status,xx,xx,8,1
1134,クロスチョップ,,Physical,100,80,8,0
1135,クロスポイズン,,Physical,70,100,20,0
1136,げきりん,,Physical,120,100,12,0
1137,けたぐり,,Physical,xx,100,20,0
1138,ゲップ,,Special,120,90,12,1
1139,げんしのちから,,Special,60,100,8,1
1140,こうごうせい,,Status,xx,xx,8,1
1141,こうそくいどう,,Status,xx,xx,20,1
1142,こうそくスピン,,Physical,50,100,20,0
1143,こおりのいぶき,,Special,60,90,12,1
1144,こおりのキバ,,Physical,65,95,16,0
1145,こおりのつぶて,,Physical,40,100,20,1
1146,こごえるかぜ,,Special,55,95,16,1
1147,コスモパワー,,Status,xx,xx,20,1
1148,コットンガード,,Status,xx,xx,12,1
1149,ゴッドバード,,Physical,140,90,8,1
1150,このゆびとまれ,,Status,xx,xx,20,1
1151,コメットパンチ,,Physical,90,90,12,0
1152,こらえる,,Status,xx,xx,12,1
1153,こわいかお,,Status,xx,100,12,1
1154,ゴーストダイブ,,Physical,90,100,12,0
1155,コーチング,,Status,xx,xx,12,1
1156,コートチェンジ,,Status,xx,100,12,1
1157,ゴールドラッシュ,,Special,120,95,8,1
1158,さいきのいのり,,Status,xx,xx,1,1
1159,サイコカッター,,Physical,70,100,20,1
1160,サイコキネシス,,Special,90,100,12,1
1161,サイコショック,,Special,80,100,12,1
1162,サイコノイズ,,Special,75,100,12,1
1163,サイコファング,,Physical,85,100,12,0
1164,サイコフィールド,,Status,xx,xx,12,1
1165,サイドチェンジ,,Status,xx,xx,16,1
1166,さいはい,,Status,xx,xx,16,1
1167,さいみんじゅつ,,Status,xx,60,20,1
1168,さきおくり,,Status,xx,100,16,1
1169,さむいギャグ,,Status,xx,xx,12,1
1170,さわぐ,,Special,90,100,12,1
1171,サンダーダイブ,,Physical,100,95,16,0
1172,ジェットパンチ,,Physical,60,100,16,0
1173,シェルアームズ,,Special,90,100,12,1
1174,シェルブレード,,Physical,75,95,12,0
1175,しおづけ,,Physical,40,100,16,1
1176,しおふき,,Special,150,100,8,1
1177,じこあんじ,,Status,xx,xx,12,1
1178,じごくづき,,Physical,80,100,16,0
1179,じこさいせい,,Status,xx,xx,8,1
1180,シザークロス,,Physical,80,100,16,0
1181,じしん,,Physical,100,100,12,1
1182,じたばた,,Physical,xx,100,16,0
1183,じだんだ,,Physical,75,100,12,0
1184,しっとのほのお,,Special,70,100,8,1
1185,しっぺがえし,,Physical,50,100,12,0
1186,しっぽきり,,Status,xx,xx,12,1
1187,じならし,,Physical,60,100,20,1
1188,しねんのずつき,,Physical,80,90,16,0
1189,じばく,,Physical,200,100,8,1
1190,じばそうさ,,Status,xx,xx,20,1
1191,しびれごな,,Status,xx,75,20,1
1192,しめつける,,Physical,15,85,20,0
1193,ジャイロボール,,Physical,xx,100,8,0
1194,シャカシャカほう,,Special,80,90,16,1
1195,シャドークロー,,Physical,70,100,16,0
1196,シャドーパンチ,,Physical,60,xx,20,0
1197,シャドーボール,,Special,80,100,16,1
1198,じゃれつく,,Physical,90,90,12,0
1199,じゅうでん,,Status,xx,xx,20,1
1200,じゅうりょく,,Status,xx,xx,8,1
1201,じわれ,,Physical,xx,30,8,1
1202,しんくうは,,Special,40,100,20,1
1203,しんそく,,Physical,80,100,8,0
1204,じんつうりき,,Special,80,100,20,1
1205,しんぴのまもり,,Status,xx,xx,20,1
1206,シンプルビーム,,Status,xx,100,16,1
1207,スイープビンタ,,Physical,25,85,12,0
1208,スキルスワップ,,Status,xx,xx,12,1
1209,スケイルショット,,Physical,25,90,20,1
1210,スケイルノイズ,,Special,110,100,8,1
1211,スターアサルト,,Physical,170,100,8,1
1212,すてゼリフ,,Status,xx,100,20,1
1213,すてみタックル,,Physical,120,100,16,0
1214,ステルスロック,,Status,xx,xx,20,1
1215,ストーンエッジ,,Physical,100,80,8,1
1216,すなあらし,,Status,xx,xx,8,1
1217,すなじごく,,Physical,35,85,16,1
1218,スピードスワップ,,Status,xx,xx,12,1
1219,スマートホーン,,Physical,70,xx,12,0
1220,すりかえ,,Status,xx,100,12,1
1221,せいちょう,,Status,xx,xx,20,1
1222,せいなるつるぎ,,Physical,90,100,16,0
1223,ぜったいれいど,,Special,xx,30,8,1
1224,そうでん,,Status,xx,xx,20,1
1225,ソウルクラッシュ,,Physical,75,100,16,0
1226,ソウルビート,,Status,xx,xx,8,1
1227,そらをとぶ,,Physical,90,95,16,0
1228,ソーラービーム,,Special,120,100,12,1
1229,ソーラーブレード,,Physical,125,100,12,0
1230,だいちのちから,,Special,90,100,12,1
1231,だいちのはどう,,Special,50,100,12,1
1232,だいばくはつ,,Physical,250,100,8,1
1233,ダイビング,,Physical,80,100,12,0
1234,だいふんげき,,Physical,120,100,12,1
1235,だいもんじ,,Special,110,85,8,1
1236,たきのぼり,,Physical,80,100,16,0
1237,だくりゅう,,Special,90,85,12,1
1238,たくわえる,,Status,xx,xx,20,1
1239,たこがため,,Status,xx,100,16,1
1240,ダストシュート,,Physical,120,80,8,1
1241,たたりめ,,Special,65,100,12,1
1242,たてこもる,,Status,xx,xx,12,1
1243,タネばくだん,,Physical,80,100,16,1
1244,タネマシンガン,,Physical,25,100,20,1
1245,ダブルアタック,,Physical,35,90,12,0
1246,ダブルウイング,,Physical,40,90,12,0
1247,ダメおし,,Physical,60,100,12,0
1248,ちいさくなる,,Status,xx,xx,12,1
1249,ちからをすいとる,,Status,xx,100,12,1
1250,ちきゅうなげ,,Physical,xx,100,20,0
1251,チャージビーム,,Special,50,90,12,1
1252,ちょうのまい,,Status,xx,xx,20,1
1253,ちょうはつ,,Status,xx,100,20,1
1254,ついばむ,,Physical,60,100,20,0
1255,ツインビーム,,Special,40,100,12,1
1256,つきのひかり,,Status,xx,xx,8,1
1257,つけあがる,,Physical,20,100,12,0
1258,つじぎり,,Physical,70,100,20,0
1259,つのドリル,,Physical,xx,30,8,0
1260,つばめがえし,,Physical,60,xx,20,0
1261,つぶらなひとみ,,Status,xx,100,20,1
1262,つぼをつく,,Status,xx,xx,20,1
1263,つららおとし,,Physical,85,90,12,1
1264,つららばり,,Physical,25,100,20,1
1265,つるぎのまい,,Status,xx,xx,20,1
1266,てだすけ,,Status,xx,xx,20,1
1267,てっていこうせん,,Special,140,95,8,1
1268,てっぺき,,Status,xx,xx,16,1
1269,てんしのキッス,,Status,xx,75,12,1
1270,であいがしら,,Physical,100,100,12,0
1271,とおせんぼう,,Status,xx,xx,8,1
1272,とおぼえ,,Status,xx,xx,20,1
1273,デカハンマー,,Physical,160,100,8,1
1274,とぐろをまく,,Status,xx,xx,20,1
1275,とける,,Status,xx,xx,20,1
1276,デコレーション,,Status,xx,xx,16,1
1277,とっておき,,Physical,140,100,8,0
1278,とどめばり,,Physical,50,100,20,0
1279,とびかかる,,Physical,80,100,16,0
1280,とびつく,,Physical,50,100,20,0
1281,とびはねる,,Physical,85,85,8,0
1282,とびひざげり,,Physical,130,90,12,0
1283,ともえなげ,,Physical,60,90,12,0
1284,トライアタック,,Special,80,100,12,1
1285,トラバサミ,,Physical,35,100,16,0
1286,トリック,,Status,xx,100,12,1
1287,トリックフラワー,,Special,70,xx,12,1
1288,トリックルーム,,Status,xx,xx,8,1
1289,トリプルアクセル,,Physical,20,90,12,0
1290,トロピカルキック,,Physical,85,100,16,0
1291,でんこうせっか,,Physical,40,100,20,0
1292,でんこうそうげき,,Physical,120,100,8,0
1293,でんじは,,Status,xx,90,20,1
1294,でんじふゆう,,Status,xx,xx,12,1
1295,でんじほう,,Special,120,50,8,1
1296,とんぼがえり,,Physical,70,100,20,0
1297,トーチカ,,Status,xx,xx,8,1
1298,ナイトバースト,,Special,90,95,12,1
1299,ナイトヘッド,,Special,xx,100,16,1
1300,なかまづくり,,Status,xx,100,16,1
1301,どくづき,,Physical,80,100,20,0
1302,どくどく,,Status,xx,90,12,1
1303,どくどくのキバ,,Physical,50,100,16,0
1304,どくのいと,,Status,xx,100,20,1
1305,どくのこな,,Status,xx,75,20,1
1306,どくばりセンボン,,Physical,60,100,12,1
1307,どくびし,,Status,xx,xx,20,1
1308,ドゲザン,,Physical,85,xx,12,0
1309,なげつける,,Physical,xx,100,12,1
1310,なまける,,Status,xx,xx,8,1
1311,なみだめ,,Status,xx,xx,20,1
1312,なみのり,03,Special,90,100,16,1
1313,なやみのタネ,,Status,xx,100,12,1
1314,ドラゴンアロー,,Physical,50,100,12,1
1315,ドラゴンエール,,Status,xx,xx,16,1
1316,ドラゴンクロー,,Physical,80,100,16,0
1317,ドラゴンダイブ,,Physical,100,75,12,0
1318,ドラゴンテール,,Physical,60,90,12,0
1319,ドラムアタック,,Physical,80,100,12,1
1320,なりきり,,Status,xx,xx,12,1
1321,ドリルくちばし,,Physical,80,100,20,0
1322,ドリルライナー,,Physical,80,95,12,0
1323,ドレインキッス,,Special,50,100,12,0
1324,ドレインパンチ,,Physical,75,100,12,0
1325,どろかけ,,Special,20,100,12,1
1326,どろぼう,,Physical,60,100,20,0
1327,ドわすれ,,Status,xx,xx,20,1
1328,ニトロチャージ,,Physical,50,100,20,0
1329,にほんばれ,,Status,xx,xx,8,1
1330,ニードルガード,,Status,xx,xx,8,1
1331,ねがいごと,,Status,xx,xx,12,1
1332,ねこだまし,,Physical,40,100,12,0
1333,ねごと,,Status,xx,xx,12,1
1334,のしかかり,,Physical,85,100,16,0
1335,ネズミざん,,Physical,20,90,12,0
1336,ねっさのだいち,,Special,70,100,12,1
1337,ねっとう,,Special,80,100,16,1
1338,ねっぷう,,Special,95,90,12,1
1339,ねばねばネット,,Status,xx,xx,20,1
1340,のみこむ,,Status,xx,xx,12,1
1341,ねむりごな,,Status,xx,75,16,1
1342,ねむる,,Status,xx,xx,8,1
1343,ねらいうち,,Special,85,100,16,1
1344,のろい,,Status,xx,xx,12,1
1345,ねをはる,,Status,xx,xx,20,1
1346,はいすいのじん,,Status,xx,xx,8,1
1347,ハイドロカノン,,Special,150,90,8,1
1348,ハイドロポンプ,,Special,110,80,8,1
1349,ハイパーボイス,,Special,90,100,12,1
1350,はいよるいちげき,,Physical,70,90,12,0
1351,はかいこうせん,,Special,150,90,8,1
1352,ばかぢから,,Physical,120,100,8,0
1353,はがねのつばさ,,Physical,70,90,20,0
1354,はきだす,,Special,xx,100,12,1
1355,ばくおんぱ,,Special,140,100,12,1
1356,ばくれつパンチ,,Physical,100,50,8,0
1357,ハサミギロチン,,Physical,xx,30,8,0
1358,はたきおとす,,Physical,65,100,20,0
1359,はたく,,Physical,40,100,20,0
1360,バトンタッチ,,Status,xx,xx,20,1
1361,はどうだん,,Special,80,xx,20,1
1362,はなびらのまい,,Physical,120,100,12,0
1363,はなふぶき,,Special,90,100,16,1
1364,はねやすめ,,Status,xx,xx,8,1
1365,ハバネロエキス,,Status,xx,xx,16,1
1366,はめつのひかり,,Special,140,90,8,1
1367,はやてがえし,,Physical,65,100,16,0
1368,はらだいこ,,Status,xx,xx,12,1
1369,パラボラチャージ,,Special,65,100,20,1
1370,バリアーラッシュ,,Physical,90,90,12,0
1371,バレットパンチ,,Physical,40,100,20,0
1372,ハロウィン,,Status,xx,100,20,1
1373,パワーウィップ,,Physical,120,85,12,0
1374,パワージェム,,Special,80,100,20,1
1375,パワーシェア,,Status,xx,xx,12,1
1376,パワースワップ,,Status,xx,xx,12,1
1377,パワートリック,,Status,xx,xx,12,1
1378,バークアウト,,Special,55,95,16,1
1379,ハードプラント,,Special,150,90,8,1
1380,ハードプレス,,Physical,xx,100,12,0
1381,ひかりのかべ,,Status,xx,xx,20,1
1382,ひけん・ちえなみ,,Physical,65,90,16,0
1383,ひっくりかえす,,Status,xx,xx,20,1
1384,ひゃっきやこう,,Special,65,100,16,1
1385,ひやみず,,Special,50,100,20,1
1386,ひょうざんおろし,,Physical,120,85,12,1
1387,びりびりちくちく,,Physical,80,100,12,0
1388,ビルドアップ,,Status,xx,xx,20,1
1389,ヒートスタンプ,,Physical,xx,100,12,0
1390,ファストガード,,Status,xx,xx,16,1
1391,ふいうち,,Physical,70,100,8,0
1392,ふういん,,Status,xx,xx,12,1
1393,フェアリーロック,,Status,xx,xx,12,1
1394,フェイタルクロー,,Physical,80,100,16,0
1395,フェイント,,Physical,30,100,12,1
1396,フェザーダンス,,Status,xx,100,16,1
1397,ふきとばし,,Status,xx,xx,20,1
1398,ぶきみなじゅもん,,Special,80,100,8,1
1399,ふくろだたき,,Physical,xx,100,12,1
1400,ふしょくガス,,Status,xx,100,20,1
1401,ぶちかまし,,Physical,120,100,8,0
1402,ふぶき,,Special,110,70,8,1
1403,フライングプレス,,Physical,100,95,12,0
1404,ブラストバーン,,Special,150,90,8,1
1405,フラフラダンス,,Status,xx,100,20,1
1406,フリーズドライ,,Special,70,100,20,1
1407,フレアソング,,Special,80,100,12,1
1408,フレアドライブ,,Physical,120,100,16,0
1409,ブレイククロー,,Physical,75,95,12,0
1410,ブレイズキック,,Physical,85,90,12,0
1411,ブレイブバード,,Physical,120,100,16,0
1412,ふんえん,,Special,80,100,16,1
1413,ふんか,,Special,150,100,8,1
1414,ふんどのこぶし,,Physical,50,100,12,0
1415,ぶんまわす,,Physical,60,100,20,0
1416,ヘドロウェーブ,,Special,95,100,12,1
1417,ヘドロばくだん,,Special,90,100,12,1
1418,ベノムショック,,Special,65,100,12,1
1419,へびにらみ,,Status,xx,100,20,1
1420,ヘビーボンバー,,Physical,xx,100,12,0
1421,へんしん,,Status,xx,xx,12,1
1422,ほうでん,,Special,80,100,16,1
1423,ぼうふう,,Special,110,70,12,1
1424,ほうふく,,Physical,xx,100,12,0
1425,ほえる,,Status,xx,xx,20,1
1426,ほおばる,,Status,xx,xx,12,1
1427,ほしがる,,Physical,60,100,20,0
1428,ほっぺすりすり,,Physical,20,100,20,0
1429,ボディプレス,,Physical,80,100,12,0
1430,ほのおのうず,,Special,35,85,16,1
1431,ほのおのキバ,,Physical,65,95,16,0
1432,ほのおのパンチ,,Physical,75,100,16,0
1433,ほのおのまい,,Special,80,100,12,1
1434,ほのおのムチ,,Physical,90,100,16,0
1435,ポルターガイスト,,Physical,110,90,8,1
1436,ボルテッカー,,Physical,120,100,16,0
1437,ボルトチェンジ,,Special,70,100,20,1
1438,ほろびのうた,,Status,xx,xx,8,1
1439,ボーンラッシュ,,Physical,30,90,12,1
1440,まきつく,,Physical,15,90,20,0
1441,まきびし,,Status,xx,xx,20,1
1442,マジカルシャイン,,Special,80,100,12,1
1443,マジカルフレイム,,Special,75,100,12,1
1444,マジックルーム,,Status,xx,xx,12,1
1445,マッドショット,,Special,55,95,16,1
1446,マッハパンチ,,Physical,40,100,20,0
1447,まとわりつく,,Special,20,100,20,0
1448,まねっこ,,Status,xx,xx,20,1
1449,まほうのこな,,Status,xx,100,20,1
1450,まもる,,Status,xx,xx,8,1
1451,みがわり,,Status,xx,xx,12,1
1452,みきり,,Status,xx,xx,8,1
1453,ミサイルばり,,Physical,25,95,20,1
1454,みずあめボム,,Special,60,90,12,1
1455,みずしゅりけん,,Special,15,100,20,1
1456,ミストバースト,,Special,100,100,8,1
1457,ミストフィールド,,Status,xx,xx,12,1
1458,みずのはどう,,Special,60,100,20,1
1459,みずびたし,,Status,xx,100,20,1
1460,みちづれ,,Status,xx,xx,8,1
1461,みらいよち,,Special,120,100,12,1
1462,ミラーコート,,Special,xx,100,20,1
1463,ミラータイプ,,Status,xx,xx,16,1
1464,みわくのボイス,,Special,80,100,12,1
1465,むしくい,,Physical,60,100,20,0
1466,むしのさざめき,,Special,90,100,12,1
1467,むしのていこう,,Special,50,100,20,1
1468,むねんのつるぎ,,Physical,90,100,12,0
1469,ムーンフォース,,Special,95,100,16,1
1470,めいそう,,Status,xx,xx,20,1
1471,メガトンキック,,Physical,120,75,8,0
1472,メガホーン,,Physical,120,85,12,0
1473,メタルバースト,,Physical,xx,100,12,1
1474,メテオビーム,,Special,120,90,12,1
1475,メロメロ,,Status,xx,100,16,1
1476,もえつきる,,Special,130,100,8,1
1477,もりののろい,,Status,xx,100,20,1
1478,もろはのずつき,,Physical,150,80,8,0
1479,やけっぱち,,Physical,75,100,12,0
1480,やどりぎのタネ,,Status,xx,90,12,1
1481,やまあらし,,Physical,60,100,12,0
1482,ゆきげしき,,Status,xx,xx,8,1
1483,ゆきなだれ,,Physical,60,100,12,0
1484,ライジングボルト,,Special,70,100,20,1
1485,ラスターカノン,,Special,80,100,12,1
1486,リサイクル,,Status,xx,xx,12,1
1487,リフレクター,,Status,xx,xx,20,1
1488,りゅうせいぐん,,Special,130,90,8,1
1489,りゅうのはどう,,Special,85,100,12,1
1490,りゅうのまい,,Status,xx,xx,20,1
1491,りんごさん,,Special,90,100,12,1
1492,りんしょう,,Special,60,100,16,1
1493,リーフストーム,,Special,130,90,8,1
1494,リーフブレード,,Physical,90,100,16,0
1495,ルミナコリジョン,,Special,80,100,12,1
1496,レイジングブル,,Physical,90,100,12,0
1497,れいとうパンチ,,Physical,75,100,16,0
1498,れいとうビーム,,Special,90,100,12,1
1499,れんごく,,Special,100,50,8,1
1500,ロックオン,,Status,xx,xx,8,1
1501,ロックカット,,Status,xx,xx,20,1
1502,ロックブラスト,,Physical,25,90,12,1
1503,ローキック,,Physical,65,100,20,0
1504,ワイドガード,,Status,xx,xx,12,1
1505,ワイドフォース,,Special,80,100,12,1
1506,ワイドブレイカー,,Physical,60,100,16,0
1507,ワイルドボルト,,Physical,90,100,16,0
1508,わたほうし,,Status,xx,100,20,1
1509,わるだくみ,,Status,xx,xx,20,1
1510,ワンダールーム,,Status,xx,xx,12,1
