id,ability,effect
287,もらいび,ほのおタイプの技が効かず、自分は もらいび状態 になる。
288,やるき,ねむり状態 ・ ねむけ状態 にならない。
289,ゆうばく,接触技でひんしになると相手の最大HPの1/4のダメージを与える。
290,ゆきかき,ゆき状態 の時、素早さが2倍になる。
291,ゆきがくれ,ゆき状態 の時、回避率が1.25倍になる。
292,ゆきふらし,登場した時から5ターンの間、 ゆき状態 にする。
293,ようりょくそ,にほんばれ状態 の時、素早さが2倍になる。
294,ヨガパワー,物理技の威力が2倍になる。
295,よちむ,登場した時、相手の技の中から威力の高い技を1つ読み取る。
296,ライトメタル,自分の重さが1/2になる。
297,リーフガード,にほんばれ状態 の時、 状態異常 にならない。
298,りんぷん,技の追加効果が効かない。
299,レシーバー,倒された味方の特性と同じ特性になる。
300,わるいてぐせ,自分が道具を持っていない時、接触技を受けると相手の道具を盗んでしまう。
301,ききかいひ,HPが1/2以下になると手持ちに戻る。
302,くさのけがわ,グラスフィールド状態 の時、防御が1.5倍になる。
303,グラスメイカー,登場した時から5ターンの間、全体の場をグラスフィールド状態にする。
304,こぼれダネ,技のダメージを受けた時から5ターンの間、全体の場を グラスフィールド状態 にする。
305,サイコメイカー,登場した時から5ターンの間、全体の場を サイコフィールド状態 にする。地面にいるすべてのポケモンは、相手の先制技を受けなくなり、またエスパータイプの技の威力が1.3倍になる。
306,にげあし,交代を邪魔する効果を無視して、手持ちの他のポケモンと交代することができる。
307,ねつこうかん,ほのおタイプの技のダメージを受けると攻撃が1段階上がる。 やけど状態 にならない。
308,はがねのせいしん,自分と味方のはがねタイプの技の威力が1.5倍になる。
309,はどうのぼうご,接触技で受けるダメージが半減する。
310,はりこみ,交代で出てきた相手に攻撃する時、技の威力が2倍になる。
311,パンクロック,音の技の威力が1.3倍になり、音の技で受けるダメージが半減する。
312,ばんけん,いかくが効かず攻撃が1段階上がる。相手を入れ替えさせる技や道具が効かない。
313,びびり,あく、ゴースト、むしタイプの技のダメージやいかくを受けた時、素早さが1段階上がる。
314,ヘドロえき,HPを吸い収とる技を受けた時、相手を回復させずその分のダメージを与える。
315,リベロ,登場するたび1回だけ自分が出す技と同じタイプに変化する。
